Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.20  339788/339788      String* std::__uninitialized_move_if_noexcept_a<String*, String*, std::allocator<String> >(String*, String*, String*, std::allocator<String>&) [15]
[14]     9.8    0.00    0.20  339788         String* std::__uninitialized_copy_a<String*, String*, String>(String*, String*, String*, std::allocator<String>&) [14]
                0.01    0.19  339788/339788      String* std::uninitialized_copy<String*, String*>(String*, String*, String*) [13]
-----------------------------------------------
                0.00    0.20  339788/339788      std::vector<String, std::allocator<String> >::_M_insert_aux(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >, String const&) [10]
[15]     9.8    0.00    0.20  339788         String* std::__uninitialized_move_if_noexcept_a<String*, String*, std::allocator<String> >(String*, String*, String*, std::allocator<String>&) [15]
                0.00    0.20  339788/339788      String* std::__uninitialized_copy_a<String*, String*, String>(String*, String*, String*, std::allocator<String>&) [14]
-----------------------------------------------
                0.00    0.00       3/239876      void std::__uninitialized_fill_n<false>::__uninit_fill_n<String*, unsigned long, String>(String*, unsigned long, String const&) [66]
                0.00    0.19  239873/239876      String* std::__uninitialized_copy<false>::__uninit_copy<String*, String*>(String*, String*, String*) [17]
[16]     9.3    0.00    0.19  239876         void std::_Construct<String, String>(String*, String const&) [16]
                0.19    0.00  239876/858950      String::String(String const&) [7]
